Thread ID: 70308912647380
Fiber ID: 70308914915040
Total: 0.053679
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06      0.018     0.000     0.000     0.018        4   Cucumber::RbSupport::RbStepDefinition#invoke 
  0.06      0.000     0.000     0.000     0.000        7   Cucumber::LanguageSupport::LanguageMethods#available_step_definition 
  0.06      0.000     0.000     0.000     0.000        7   <Module::Cucumber::Ast::MultilineArgument>#from 
  0.06      0.000     0.000     0.000     0.000        6   Object#cucumber_compatible_arity? 
  0.06      0.000     0.000     0.000     0.000        6   Cucumber::Formatter::ANSIColor#skipped_param 
  0.06      0.001     0.000     0.000     0.001        1   Cucumber::Formatter::Console#print_stats 
  0.06      0.000     0.000     0.000     0.000        7   Cucumber::Ast::Scenario#status 
  0.06      0.050     0.000     0.000     0.050        1   Cucumber::Runtime#run! 
  0.06      0.000     0.000     0.000     0.000       10   Cucumber::Ast::Location#initialize 
  0.06      0.001     0.000     0.000     0.001        7   Motivation::Motivator#source_const? 
  0.06      0.008     0.000     0.000     0.008        7   Cucumber::Ast::TreeWalker#visit_step_result 
  0.06      0.000     0.000     0.000     0.000       10   Enumerable#map 
  0.06      0.000     0.000     0.000     0.000       21   Motivation::MoteDsl#motive_instance_resolvable? 
  0.06      0.000     0.000     0.000     0.000        6   Object#cucumber_arity 
  0.06      0.009     0.000     0.000     0.009        1   Cucumber::Runtime::FeaturesLoader#load 
  0.06      0.002     0.000     0.000     0.002        1   Cucumber::Ast::StepInvocation#failed 
  0.06      0.000     0.000     0.000     0.000       19   String#* 
  0.06      0.000     0.000     0.000     0.000        8   Module#include 
  0.06      0.001     0.000     0.000     0.001        7   Cucumber::Ast::StepInvocation#source_indent 
  0.06      0.001     0.000     0.000     0.001        7   Cucumber::RbSupport::RbLanguage#register_rb_step_definition 
  0.06      0.000     0.000     0.000     0.000        8   Cucumber::LanguageSupport::LanguageMethods#hooks 
  0.06      0.003     0.000     0.000     0.003        6   Cucumber::RbSupport::RbLanguage#load_code_file 
  0.06      0.018     0.000     0.000     0.018        4   Cucumber::StepMatch#invoke 
  0.06      0.000     0.000     0.000     0.000        6   Cucumber::Constantize#constantize_name 
  0.06      0.001     0.000     0.000     0.001        7   Cucumber::RbSupport::RbDsl#register_rb_step_definition 
  0.06      0.000     0.000     0.000     0.000        8   String#[]= 
  0.06      0.000     0.000     0.000     0.000        9   MatchData#offset 
  0.05      0.000     0.000     0.000     0.000        7   Gherkin::Formatter::Model::Step::Builder#replay 
  0.05      0.002     0.000     0.000     0.002        7   Cucumber::Runtime::SupportCode#matches 
  0.05      0.000     0.000     0.000     0.000        9   Kernel#enum_for 
  0.05      0.002     0.000     0.000     0.002        7   Cucumber::RbSupport::RbLanguage#step_matches 
  0.05      0.001     0.000     0.000     0.001        6   Motivation::MoteDefinitionExpression#motive_instance_resolvable? 
  0.05      0.000     0.000     0.000     0.000        7   Cucumber::Ast::StepCollection#exception 
  0.05      0.000     0.000     0.000     0.000        7   Gherkin::Formatter::Model::Step::Builder#build 
  0.05      0.000     0.000     0.000     0.000        8   Cucumber::Ast::HasSteps#text_length 
  0.05      0.000     0.000     0.000     0.000        9   Cucumber::Parser::GherkinBuilder::Builder#initialize 
  0.05      0.000     0.000     0.000     0.000        1   Cucumber::FeatureFile#source 
  0.05      0.000     0.000     0.000     0.000        9   Cucumber::Formatter::ANSIColor#comment 
  0.05      0.000     0.000     0.000     0.000        4   Cucumber::RbSupport::RbTransform#initialize 
  0.05      0.000     0.000     0.000     0.000       18   Fixnum#+ 
  0.05      0.000     0.000     0.000     0.000       24   String#=== 
  0.05      0.000     0.000     0.000     0.000       10   Kernel#lambda 
  0.05      0.000     0.000     0.000     0.000        9   Cucumber::Parser::GherkinBuilder#file 
  0.05      0.001     0.000     0.000     0.001        3   Motivation::Mote#motive_instance_identifier 
  0.05      0.000     0.000     0.000     0.000        7   Gherkin::Formatter::Model::Step::Builder#initialize 
  0.05      0.008     0.000     0.000     0.008        1   Cucumber::FeatureFile#parse 
  0.05      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Pretty#print_feature_element_name 
  0.05      0.000     0.000     0.000     0.000        7   Module#define_method 
  0.05      0.000     0.000     0.000     0.000        7   Gherkin::Listener::FormatterListener#step 
  0.05      0.000     0.000     0.000     0.000        8   Cucumber::Ast::StepCollection#status 
  0.05      0.000     0.000     0.000     0.000       10   Array#zip 
  0.05      0.000     0.000     0.000     0.000        7   Cucumber::Runtime#step_visited 
  0.05      0.000     0.000     0.000     0.000        9   String#strip 
  0.05      0.000     0.000     0.000     0.000        9   Gherkin::Formatter::Model::BasicStatement#initialize 
  0.05      0.000     0.000     0.000     0.000        6   Object#data 
  0.05      0.005     0.000     0.000     0.005        1   Gherkin::Parser::Parser::Machine#transition_table 
  0.05      0.035     0.000     0.000     0.035        1   Cucumber::Ast::Feature#accept 
  0.05      0.000     0.000     0.000     0.000       21   String#force_encoding 
  0.05      0.033     0.000     0.000     0.033        7   Cucumber::Ast::TreeWalker#visit_step 
  0.04      0.001     0.000     0.000     0.001        7   Motivation::Motivator#motive_definition_name_resolvable? 
  0.04      0.000     0.000     0.000     0.000        7   Cucumber::Ast::Step#initialize 
  0.04      0.000     0.000     0.000     0.000        4   Module#attr_reader 
  0.04      0.000     0.000     0.000     0.000        5   Cucumber::RbSupport::RbTransform#to_s 
  0.04      0.000     0.000     0.000     0.000        2   Time#minus_without_duration 
  0.04      0.002     0.000     0.000     0.002        2   Gherkin::I18n#lexer 
  0.04      0.000     0.000     0.000     0.000       16   Symbol#to_proc 
  0.04      0.000     0.000     0.000     0.000       10   <Module::Cucumber>#logger 
  0.04      0.002     0.000     0.000     0.002        8   Cucumber::Ast::HasSteps#source_indent 
  0.04      0.037     0.000     0.000     0.037       34  *Cucumber::Ast::TreeWalker#broadcast 
  0.04      0.000     0.000     0.000     0.000       12   Array#compact 
  0.04      0.000     0.000     0.000     0.000        7   Cucumber::Ast::Step#step_invocation 
  0.04      0.000     0.000     0.000     0.000       18   BasicObject#== 
  0.04      0.001     0.000     0.000     0.001        1   Cucumber::Parser::GherkinBuilder::FeatureBuilder#result 
  0.04      0.001     0.000     0.000     0.001        3   Motivation::MotiveInstanceIdentifier#identify_motive_instance 
  0.04      0.000     0.000     0.000     0.000        2   Time#minus_with_coercion 
  0.04      0.001     0.000     0.000     0.001        7   Cucumber::StepMatch#format_args 
  0.04      0.000     0.000     0.000     0.000        7   Cucumber::Runtime#steps 
  0.04      0.000     0.000     0.000     0.000        7   Cucumber::Ast::Step#gherkin_statement 
  0.04      0.000     0.000     0.000     0.000       10   Cucumber::LanguageSupport::LanguageMethods#transforms 
