Thread ID: 70308912647380
Fiber ID: 70308914915040
Total: 0.053679
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Parser::Parser#i18n_language 
  0.01      0.000     0.000     0.000     0.000        1   Fixnum#< 
  0.01      0.000     0.000     0.000     0.000        1   Hash#values_at 
  0.01      0.000     0.000     0.000     0.000        1   RSpec::Matchers::BuiltIn::Be#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::Features#add_feature 
  0.01      0.000     0.000     0.000     0.000        2   Fixnum#- 
  0.01      0.000     0.000     0.000     0.000        1   String#chomp 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Cli::Configuration#remove_excluded_files_from 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Cli::Configuration#wip? 
  0.01      0.000     0.000     0.000     0.000        1   String#rstrip 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Motivator#mote_definition_finder 
  0.01      0.000     0.000     0.000     0.000        2   Hash#each 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::StepCollection#failed? 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::Features#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::HasSteps#language 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Formatter::TagCountFormatter#record_tags 
  0.01      0.000     0.000     0.000     0.000        1   String#lstrip 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Motivator#motive_instance_finder 
  0.01      0.000     0.000     0.000     0.000        1   <Class::Gherkin::I18n>#languages 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Parser::Parser::Machine::StateMachineReader#eof 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Cli::Configuration#paths 
  0.00      0.000     0.000     0.000     0.000        2   Hash#clear 
  0.00      0.000     0.000     0.000     0.000        1   BasicObject#equal? 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Enumerator>#allocate 
  0.00      0.000     0.000     0.000     0.000        1   <Class::IO>#allocate 
  0.00      0.000     0.000     0.000     0.000        1   Cucumber::Ast::Scenario#skip_hooks? 
  0.00      0.000     0.000     0.000     0.000        1   Exception#to_s 
  0.00      0.000     0.000     0.000     0.000        1   Cucumber::Parser::GherkinBuilder#eof 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Module>#allocate 
  0.00      0.000     0.000     0.000     0.000        2   Array#uniq 
  0.00      0.000     0.000     0.000     0.000        1   SystemExit#status 
  0.00      0.000     0.000     0.000     0.000        1   Cucumber::Ast::Feature#gherkin_statement 
  0.00      0.000     0.000     0.000     0.000        1   Cucumber::Parser::GherkinBuilder#initialize 
  0.00      0.000     0.000     0.000     0.000        1   Cucumber::Ast::Scenario#step_invocations 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#instance_of? 
  0.00      0.000     0.000     0.000     0.000        1   NilClass#inspect 
  0.00      0.000     0.000     0.000     0.000        1   NilClass#to_a 
  0.00      0.000     0.000     0.000     0.000        1   Module#const_set 
  0.00      0.000     0.000     0.000     0.000        1   Module#initialize 

* indicates recursively called methods
